Basis,Calc_Type,Conformer_Description,Conformer_ID,Full_Name,Method,N_atoms,Name,Status,cff,dipolex,dipoley,dipolez,file_location,file_location_pathtype,molden,out,polar_pkl,qff
cc-pVQZ,full,optimized,conf1,allene,B3LYP,7,ALLN,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/allene/B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,nope,optimized,conf1,acetic acid,LC-BLYP,8,ACAC,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/ACAC/LC_BLYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,acetic acid,B3LYP,8,ACAC,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/ACAC/B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVTZ,full,optimized,conf1,acetic acid,B3LYP,8,ACAC,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/ACAC/B3LYPcc_pVTZ/g16_inputFull_3q.out,absolute,,,,
aug-cc-pVTZ,full,optimized,conf1,acetic acid,B3LYP,8,ACAC,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/ACAC/B3LYPaug_cc_pVTZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,acetic acid,CAM-B3LYP,8,ACAC,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/ACAC/CAM_B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVTZ,full,optimized,conf1,acetic acid,CAM-B3LYP,8,ACAC,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/ACAC/CAM_B3LYPcc_pVTZ/g16_inputFull_3q.out,absolute,,,,
aug-cc-pVTZ,full,optimized,conf1,acetic acid,CAM-B3LYP,8,ACAC,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/ACAC/CAM_B3LYPaug_cc_pVTZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,oxalic acid,B3LYP,8,OXAC,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/OXAC1/B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf2,oxalic acid,B3LYP,8,OXAC,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/OXAC2/B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,propylene,B3LYP,9,PRPL,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/propylene/B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,reopt,reopt,conf1,methylnitrite_trans,B3LYP,7,MNTR,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/methylnitrite_trans/B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,paradifluorobenzene,B3LYP,12,pDFB,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/pDFB/B3LYPcc_pVQZ/g16_vib_input.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,formaldehyde dimer,B3LYP,8,FORD,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM_dimer/B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
aug-cc-pVTZ,full,optimized,conf1,formaldehyde dimer,B3LYP,8,FORD,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FORM_dimer/B3LYPaug_cc_pVTZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,formic acid dimer,B3LYP,10,FODM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/FOAC_dimer/B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,not quite,optimized,conf1,acetic acid dimer,CAM-B3LYP,16,ACDM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/ACDM/CAM_B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,acetic acid dimer,B3LYP,16,ACDM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/ACDM/B3LYPcc_pVQZ/g16_b3lyp_corr_inputFull_3q.out,absolute,,,,
cc-pVQZ1,not quite,optimized,conf1,acetic acid dimer,B3LYP,16,ACDM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/ACDM/B3LYPcc-pVQZ_1/bigmemj/g16_b3lyp_corr_inputFull_3q.out,absolute,,,,
cc-pVQZ,full,optimized,conf1,acetamide,B3LYP,9,ACAM,done,,,,,/mnt/c/Users/vle014/OneDrive - UiT Office 365/Documents/files_fram/dftGaussian/acetamide/B3LYPcc_pVQZ/g16_inputFull_3q.out,absolute,,,,
